t,y,n
45.0,-3.966025463688111e-05,2.0
50.0,-0.0011149465073799607,2.0
55.0,-7.771271769183474e-05,2.0
60.0,0.007519359332597626,2.0
62.0,-0.5327142832766898,2.0
65.0,-0.5168501305353527,2.0
70.0,-0.48501568579239407,2.0
75.0,-0.46231255585523473,2.0
80.0,-0.44224725979235524,2.0
85.0,-0.42331835540189783,2.0
90.0,-0.39504090058033703,2.0
95.0,-0.37395804953971257,2.0
100.0,-0.35308922276891114,2.0
105.0,-0.3241717856834588,2.0
110.0,-0.307020698282601,2.0
115.0,-0.2991748647751606,2.0
120.0,-0.28495294493805207,2.0
125.0,-0.2672137757172741,2.0
130.0,-0.25563088123659383,2.0
135.0,-0.2469711970785513,2.0
140.0,-0.2368630049355172,2.0
145.0,-0.21446873046700352,2.0
150.0,-0.20998804091000034,2.0
155.0,-0.20023274364113422,2.0
160.0,-0.1924147229869243,2.0
165.0,-0.18000070830091633,2.0
170.0,-0.17934633336242659,2.0
175.0,-0.16297482456746684,2.0
180.0,-0.15151239788242665,2.0
185.0,-0.14423570676528746,2.0
190.0,-0.14120579071218883,2.0
195.0,-0.13263847013889118,2.0
200.0,-0.1339047924793918,2.0
205.0,-0.11313710669666113,2.0
210.0,-0.11693371425015707,2.0
215.0,-0.1129707468662158,2.0
220.0,-0.09617958716859674,2.0
225.0,-0.10274583205707476,2.0
230.0,-0.0973232949820085,2.0
235.0,-0.09126280528844147,2.0
240.0,-0.09435768187475811,2.0
245.0,-0.08515538895158163,2.0
250.0,-0.08051928143626713,2.0
255.0,-0.07454524836889291,2.0
260.0,-0.07361507465273319,2.0
265.0,-0.07343411073301902,2.0
270.0,-0.06822746529170721,2.0
275.0,-0.07184701624104627,2.0
280.0,-0.06962022043795839,2.0
285.0,-0.05924053683135014,2.0
290.0,-0.0632086745549809,2.0
295.0,-0.0650909661816774,2.0
300.0,-0.061611886891862686,2.0
0.0,0.02216548029250755,3.0
5.0,0.018931601072662105,3.0
10.0,0.012155167428684537,3.0
15.0,0.0018835093582185547,3.0
20.0,-0.003342162556173332,3.0
25.0,-0.0017744280447201106,3.0
30.0,-0.0032461541001365,3.0
35.0,-0.009087872515240148,3.0
40.0,-0.01072280155566096,3.0
45.0,-0.00584514124075312,3.0
50.0,-0.009241091756878185,3.0
55.0,-0.007492917621695857,3.0
60.0,-0.0043831887608128655,3.0
62.0,-0.6279777374919004,3.0
65.0,-0.6117469576111535,3.0
70.0,-0.5777879663221666,3.0
75.0,-0.5565133355618617,3.0
80.0,-0.5306080477161198,3.0
85.0,-0.5102116383133565,3.0
90.0,-0.4911356922856001,3.0
95.0,-0.4663468685921201,3.0
100.0,-0.44803437093086446,3.0
105.0,-0.4275553858184909,3.0
110.0,-0.4170124596007527,3.0
115.0,-0.40293619679795506,3.0
120.0,-0.3834713485311493,3.0
125.0,-0.36780148545961266,3.0
130.0,-0.3531025131500578,3.0
135.0,-0.3321312942195847,3.0
140.0,-0.32123752742549055,3.0
145.0,-0.31121754113546474,3.0
150.0,-0.29738959331714127,3.0
155.0,-0.2941449092194783,3.0
160.0,-0.2739912308612866,3.0
165.0,-0.2630938354466688,3.0
170.0,-0.24940092466662603,3.0
175.0,-0.2422380745121686,3.0
180.0,-0.23675346256740173,3.0
185.0,-0.21963422733499025,3.0
190.0,-0.21241573615171427,3.0
195.0,-0.20512608965247878,3.0
200.0,-0.20086211587617947,3.0
205.0,-0.19114109946027083,3.0
210.0,-0.18280122302486843,3.0
215.0,-0.1754913778904058,3.0
220.0,-0.16794589143371894,3.0
225.0,-0.16189618537563416,3.0
230.0,-0.15860584217027965,3.0
235.0,-0.15078603532017262,3.0
240.0,-0.1483044868468154,3.0
245.0,-0.14003925003305065,3.0
250.0,-0.13696255100733862,3.0
255.0,-0.13042830365607228,3.0
